time,version,comments,class
2020-01-30 00:26:53,11.19.0.11,百度今年的新年集好运领红包活动，以及其他所有活动的红包，都提现不了。准确的说，是点击了提现，上面显示钱都到账了，但我查了银行卡，始终都没有。百度上说是一般申请提现后2天内必定到账，这都好几天了。最气的是百度的申请记录上都写的提现成功！反馈了问题吧，说让我找客服，线上客服全都是自动回复，而且只能点击上面已有的问题询问，不能问自己的问题……也是无语了。百度去年的新年活动不是这样的啊。今年咋啦这是？同样是类似的红包活动提现，人家抖音可是申请提现后几分钟就到账了。难道这类APP都是牌子打出去后就不再认真对待这些活动了么？如果是，那就干脆不要办这种活动啊。,good
2020-01-15 11:45:50,11.19.0.11,垃圾软件,bad
2020-01-14 11:20:33,11.19.0.11,非常好非常好,best
2020-01-09 17:43:39,11.18.0.12,有些地方数据失真，尤其是货车导航，还需要多多更新数据,best
2020-01-04 11:40:14,11.17.0.13,百度让我拥有了很多美图，我爱百度！,best
2019-12-31 17:29:24,11.18.0.12,哈哈,good
2019-12-23 19:17:38,11.0.5.12,无话可说，简直就是垃圾中的战斗机。,bad
2019-12-23 19:13:52,11.18.0.12,还可以,best
2019-12-16 22:13:32,11.3.6.11,bmg有点多，还是挺好的软件,good
2019-12-15 09:39:04,6.3.1,"不懂的知识都可以查看
^O^/",best
2019-12-11 14:58:25,11.17.0.13,使用快捷方便,best
2019-12-08 05:33:45,11.16.5.10,试用看看,best
2019-12-02 17:35:56,11.16.2.10,不错,good
2019-12-01 12:13:24,11.16.5.10,很好非常棒。,best
2019-11-29 16:31:52,11.16.5.10,"百度
越来内容越多打开越来越慢，最后抛弃你的会越来越多。",good
2019-11-21 16:38:54,11.16.0.10,很厉害。,best
2019-11-08 21:32:07,11.15.5.10,想跟那些差评的朋友说句话，你把短视频和广告禁掉就可以了啦......,best
2019-11-04 20:40:35,11.15.5.10,"垃圾百度
垃圾百度",bad
2019-11-02 22:15:11,11.15.5.10,必须的∵义卜八,best
2019-11-02 12:59:22,11.15.5.10,差评3秒短视频的好评7秒短视频,best
